timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1486772850199,26,-777,-1.707275390625E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850213,26,-780,-1.7138671875E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850238,26,-392,-8.61328125E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850248,26,-123,-2.70263671875E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850274,26,-517,-1.135986328125E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850284,26,604,1.3271484375E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850312,26,20,4.39453125E-6,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850330,26,-220,-4.833984375E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850340,26,163,3.5815429687500006E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850351,26,-122,-2.6806640625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850365,26,-161,-3.53759765625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850390,26,-37,-8.1298828125E-6,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850400,26,-139,-3.0541992187500004E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850415,26,209,4.59228515625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850431,26,327,7.18505859375E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850448,26,151,3.31787109375E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850466,26,-115,-2.52685546875E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850476,26,-201,-4.41650390625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850488,26,528,1.16015625E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850500,26,342,7.5146484375E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850510,26,153,3.3618164062500004E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850526,26,246,5.4052734375E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850536,26,-86,-1.8896484375000003E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850546,26,-242,-5.3173828125000005E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850565,26,251,5.5151367187500004E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850584,26,523,1.149169921875E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850594,26,-408,-8.964843749999999E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850606,26,141,3.09814453125E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850617,26,251,5.5151367187500004E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850627,26,-530,-1.16455078125E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850645,26,273,5.998535156250001E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850670,26,337,7.40478515625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850680,26,225,4.94384765625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850698,26,-106,-2.3291015625000003E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850708,26,67,1.4721679687500002E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850725,26,-517,-1.135986328125E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850738,26,-601,-1.3205566406249998E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850759,26,-186,-4.0869140625E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850769,26,355,7.80029296875E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850802,26,-587,-1.2897949218750003E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850817,26,357,7.844238281250001E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850827,26,-466,-1.0239257812500001E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850841,26,-418,-9.1845703125E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850851,26,131,2.87841796875E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850878,26,-446,-9.799804687500001E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850889,26,-588,-1.2919921875E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850899,26,181,3.9770507812500004E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850915,26,-428,-9.404296875E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850938,26,-403,-8.854980468749999E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850948,26,-460,-1.0107421875E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850966,26,-391,-8.591308593750001E-5,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850976,26,528,1.16015625E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
1486772850994,26,-514,-1.12939453125E-4,56,54,0,135055,214866,477,75965,1076,16776484,1463,257028,Tag0,unknown
